,0,Depth_UA,SWE_UA,date,label,latitude,longitude
0,,0.0,0.0,2012-10-01,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
1,,0.0,0.0,2012-10-02,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
2,,0.0,0.0,2012-10-03,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
3,,0.0,0.0,2012-10-04,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
4,,0.0,0.0,2012-10-05,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
5,,0.0,0.0,2012-10-06,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
6,,0.0,0.0,2012-10-07,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
7,,0.0,0.0,2012-10-08,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
8,,0.0,0.0,2012-10-09,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
9,,0.0,0.0,2012-10-10,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
10,,0.0,0.0,2012-10-11,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
11,,22.0,2.0,2012-10-12,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
12,,40.0,4.0,2012-10-13,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
13,,19.0,2.0,2012-10-14,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
14,,0.0,0.0,2012-10-15,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
15,,0.0,0.0,2012-10-16,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
16,,0.0,0.0,2012-10-17,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
17,,0.0,0.0,2012-10-18,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
18,,0.0,0.0,2012-10-19,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
19,,0.0,0.0,2012-10-20,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
20,,0.0,0.0,2012-10-21,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
21,,0.0,0.0,2012-10-22,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
22,,188.0,14.0,2012-10-23,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
23,,157.0,14.0,2012-10-24,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
24,,133.0,14.0,2012-10-25,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
25,,115.0,14.0,2012-10-26,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
26,,101.0,14.0,2012-10-27,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
27,,81.0,14.0,2012-10-28,0003f387-71c4-48f6-b2b0-d853bd4f0aba,37.07777576986577,-118.7234447492404
